Date,Not indexed,Indexed,Impressions
2026-01-24,,,148
2026-01-25,,,139
2026-01-26,249,55,127
2026-01-27,249,53,144
2026-01-28,249,53,163
2026-01-29,249,53,167
2026-01-30,249,53,145
2026-01-31,251,51,142
2026-02-01,251,51,121
2026-02-02,251,51,124
2026-02-03,255,47,110
2026-02-04,255,47,113
2026-02-05,255,47,79
2026-02-06,255,47,77
2026-02-07,230,46,78
2026-02-08,230,46,108
2026-02-09,230,46,97
2026-02-10,256,43,85
2026-02-11,256,43,83
2026-02-12,256,43,100
2026-02-13,256,43,148
2026-02-14,254,42,122
2026-02-15,254,42,113
2026-02-16,254,42,114
2026-02-17,258,38,106
2026-02-18,258,38,105
2026-02-19,258,38,88
2026-02-20,258,38,93
2026-02-21,257,38,77
2026-02-22,257,38,93
2026-02-23,257,38,96
2026-02-24,266,30,80
2026-02-25,266,30,67
2026-02-26,266,30,87
2026-02-27,266,30,81
2026-02-28,266,30,87
2026-03-01,266,30,71
2026-03-02,266,30,83
2026-03-03,267,28,114
2026-03-04,267,28,92
2026-03-05,267,28,117
2026-03-06,267,28,90
2026-03-07,275,20,91
2026-03-08,275,20,85
2026-03-09,275,20,99
2026-03-10,279,15,63
2026-03-11,279,15,75
2026-03-12,279,15,106
2026-03-13,279,15,79
2026-03-14,279,15,85
2026-03-15,277,14,75
2026-03-16,277,14,58
2026-03-17,278,3,45
2026-03-18,278,3,56
2026-03-19,278,3,29
2026-03-20,278,3,44
2026-03-21,264,3,41
2026-03-22,264,3,42
2026-03-23,264,3,42
2026-03-24,240,3,28
2026-03-25,240,3,31
2026-03-26,240,3,27
2026-03-27,240,3,33
2026-03-28,232,3,26
2026-03-29,232,3,30
2026-03-30,232,3,21
2026-03-31,232,3,35
2026-04-01,232,3,28
2026-04-02,232,3,43
2026-04-03,232,3,35
2026-04-04,222,3,22
2026-04-05,222,3,37
2026-04-06,218,3,20
2026-04-07,218,3,33
2026-04-08,218,3,34
2026-04-09,218,3,33
2026-04-10,210,3,33
2026-04-11,210,3,19
2026-04-12,210,3,29
2026-04-13,205,3,24
2026-04-14,205,3,26
2026-04-15,205,3,15
2026-04-16,205,3,41
2026-04-17,202,3,51
2026-04-18,202,3,72
2026-04-19,202,3,56
