# ----------------------------------------
# Página de destino: Página de destino
# Cuenta: Sky Ride
# Propiedad: www.skyride.city - GA4
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250424
# Fecha de finalización: 20260425
Página de destino,Sesiones,Usuarios activos,Usuarios nuevos,Tiempo de interacción medio por sesión,Eventos clave,Total de ingresos,Tasa de evento clave de sesión
/,7105,6571,6564,29.401688951442647,1309,0,0.06600985221674877
(not set),1709,1302,0,0.8016383850204798,23,0,0.0052662375658279695
/en/sky-ride-charter-flights,1060,965,943,30.612264150943396,86,0,0.05188679245283019
/en,249,226,220,81.34136546184739,77,0,0.08032128514056225
/paseo-en-bote,182,178,173,28.63186813186813,12,0,0.054945054945054944
/hipertensos-pueden-viajar-en-avion,114,106,106,125.19298245614036,2,0,0.008771929824561403
/ferry-a-contadora,108,103,99,107.55555555555556,6,0,0.037037037037037035
/producto/🚁-robinson-r44-3-pasajeros,107,78,69,16.149532710280372,0,0,0
/en/ferry-to-contadora-is-it-really-convenient,93,91,90,68.64516129032258,14,0,0.010752688172043012
/en/helicopter-rides,93,82,70,23.677419354838708,4,0,0.03225806451612903
/luna-de-miel-en-panama,79,78,79,65.72151898734177,23,0,0.12658227848101267
/playa-cacique-contadora,79,78,78,44.69620253164557,8,0,0.0379746835443038
/asientos-disponibles,78,71,59,22.512820512820515,6,0,0.0641025641025641
/apps-para-encontrar-viajes-en-avion-privado,77,68,69,32.532467532467535,0,0,0
/en/available-seats,73,72,71,15.89041095890411,2,0,0.0273972602739726
/paseo-en-helicoptero,64,55,39,54.890625,10,0,0.0625
/blog,62,56,53,235.40322580645162,2,0,0.016129032258064516
/en/what-to-do-in-contadora-island,55,52,51,117.69090909090909,1,0,0.01818181818181818
/5113-2,45,4,1,142.57777777777778,75,0,0.17777777777777778
/categoria-producto/flota-aerea,44,34,17,12.727272727272727,3,0,0.022727272727272728
/producto/🚁-eurocopter-b3-as350-5-pasajeros,31,21,19,13.225806451612904,2,0,0.03225806451612903
/transporte-a-contadora,31,31,29,82,4,0,0.12903225806451613
/en/what-to-see-in-san-jose-capital-of-costa-rica,30,29,29,18.166666666666668,6,0,0.06666666666666667
/helicoptero-privado-lo-que-debes-saber-sky-ride,30,29,29,85.76666666666667,0,0,0
/producto/🚁-robinson-r66-4-pasajeros,30,22,17,43.7,2,0,0.03333333333333333
/alquiler-de-helicopteros-en-panama-todo-lo-que-necesitas-saber,29,25,22,43.51724137931034,5,0,0.10344827586206896
/en/charter-flights,29,29,24,13.275862068965518,1,0,0.034482758620689655
/que-hacer-en-isla-contadora,29,22,21,187.10344827586206,2,0,0.034482758620689655
/en/cacique-beach-in-contadora-a-true-paradise,28,24,24,23.035714285714285,0,0,0
/producto/🛩-cessna-206-5-pasajeros,27,25,15,32.2962962962963,7,0,0.1111111111111111
/producto/✈-piper-azteca-5-pasajeros,26,15,11,13.807692307692308,0,0,0
/producto/🚁-eurocopter-b4-ec130-6-pasajeros,26,20,17,9.653846153846153,1,0,0.038461538461538464
/vuelos-charter,26,20,9,42.88461538461539,6,0,0.19230769230769232
/que-ver-y-hacer-en-playa-tambor-costa-rica,24,24,24,47.541666666666664,3,0,0.08333333333333333
/reservar-con-martin,23,13,9,25.652173913043477,8,0,0.17391304347826086
/en/categoria-producto/air-fleet,22,18,14,11.772727272727273,1,0,0.045454545454545456
/producto/🛫-cessna-172-hasta-3-pasajeros,22,16,14,17.136363636363637,2,0,0.045454545454545456
/paseo-en-helicoptero-precio-panama,21,20,19,39.333333333333336,0,0,0
/en/honeymoon-in-panama-best-places-activities-itinerary,20,20,20,17.8,0,0,0
/en/category/sin-categoria-en,18,18,18,3.611111111111111,0,0,0
/descubre-las-mejores-islas-de-san-blas-skyride,17,16,16,24.470588235294116,0,0,0
/vuelo-privado-a-contadora,17,17,17,38.411764705882355,5,0,0.17647058823529413
/boats/valpar-catamaran,16,13,12,69.9375,0,0,0
/our-fleet,16,15,8,11.625,0,0,0
/en/producto/charter-flights,15,14,14,10.6,0,0,0
/que-es-un-vuelo-charter-y-como-se-reserva,15,15,14,38.4,0,0,0
/boats/gemini-boat,14,14,14,0.2857142857142857,0,0,0
/en/long-beach-on-contadora-island-choose-your-next-destination,14,14,14,46,0,0,0
/boats/faro-catamaran,13,11,10,70.53846153846153,0,0,0
/contact-us,13,12,10,4.923076923076923,0,0,0
/en/cart,13,13,13,7.538461538461538,0,0,0
/panama,13,11,7,19.53846153846154,0,0,0
/producto/✈-piper-cherokee-3-pasajeros,13,10,8,29.384615384615383,0,0,0
/en/charter-flights-panama-personalized-experience,12,12,12,35.333333333333336,0,0,0
/en/transportation-to-contadora-island-best-options,12,12,12,37.333333333333336,0,0,0
/mejores-lugares-turisticos-de-costa-rica,12,12,12,21.916666666666668,0,0,0
/producto/✈-daher-kodiak-hasta-9-pasajeros,12,8,6,12.416666666666666,0,0,0
/producto/🛫-king-air-f90-6-pasajeros,12,10,8,12,0,0,0
/vuelos-privados-a-medellin,12,12,12,25.583333333333332,4,0,0.25
/en/the-best-tourist-places-in-costa-rica,11,11,10,6.090909090909091,0,0,0
/en/whats-to-see-and-do-in-playa-tambor-costa-rica,11,11,11,3.6363636363636362,0,0,0
/vuelos-privados-baratos-skyride,11,11,11,24.727272727272727,4,0,0.09090909090909091
/alquiler-de-yates-de-lujo-en-panama,10,8,6,7.2,0,0,0
/boats/zenith-catamaran,10,10,9,7.1,0,0,0
/descubre-el-confort-vuelo-privado-panama-costa-rica,10,10,10,17,0,0,0
/en/honeymoon-in-costa-rica,10,10,10,4.2,0,0,0
/renta-de-aviones-privados-para-viajes-de-negocios,10,10,9,22.7,0,0,0
/category/rutas,9,9,8,12.555555555555555,2,0,0.1111111111111111
/en/blog-2,9,9,9,0.3333333333333333,0,0,0
/producto/robinson-r44-3-pasajeros,9,8,6,2.5555555555555554,0,0,0
/producto/vuelos-charter,9,8,6,8.555555555555555,0,0,0
/producto/🛩-king-air-200-hasta-9-pasajeros,9,6,4,65.44444444444444,1,0,0.1111111111111111
/tips-para-viajar-en-avion-guia-completa,9,9,9,2.3333333333333335,0,0,0
/vuela-de-panama-a-bocas-del-toro-la-mejor-forma-de-llegar-al-paraiso,9,9,9,2.5555555555555554,0,0,0
/boats/nikita-catamaran,8,8,8,5.875,0,0,0
/en/sky-ride-charter-flights//checkout,8,8,8,4,0,0,0
/en/thank-you,8,6,5,4,0,0,0
/gracias,8,6,2,36.75,10,0,1
/playa-larga-contadora,8,8,8,3.5,0,0,0
/reservar-vuelo-sin-pagar-demasiado,8,8,8,12,0,0,0
/como-elegir-asientos-de-avion-privado,7,7,7,10.142857142857142,0,0,0
/en/producto/🚁-robinson-r44-3-passengers,7,7,7,3.7142857142857144,0,0,0
/en/producto/🛫-king-air-f90-6-passengers,7,7,6,2.142857142857143,0,0,0
/producto/🛫-piper-saratoga-5-pasajeros,7,5,3,1.7142857142857142,0,0,0
/vuelos-a-playa-tambor,7,7,7,9,0,0,0
,6,5,0,1.5,1,0,0.16666666666666666
/en/producto/🚁-robinson-r66-4-passengers,6,5,4,21.333333333333332,0,0,0
/en/producto/🛩-cessna-206-5-passengers,6,6,5,34.5,0,0,0
/helicopteros-en-panama-la-guia-definitiva,6,6,6,1.1666666666666667,0,0,0
/que-ver-en-san-jose-capital-de-costa-rica,6,6,6,1.8333333333333333,0,0,0
/vuelos-charter-en-panama,6,6,6,7.5,0,0,0
/en/producto/eurocopter-b3-as350-5-passengers,5,5,4,15.4,0,0,0
/en/producto/🛫-piper-saratoga-5-passengers,5,5,5,3.2,0,0,0
/vuelos-privados-baratos,5,5,5,1.6,0,0,0
/boats/vip-one-catamaran,4,4,4,37,0,0,0
/category/rutas/page/2,4,4,4,3.5,0,0,0
/experimenta-un-tour-de-helicoptero-inolvidable-sobreciudad-de-panama,4,4,4,21.5,0,0,0
/luna-de-miel-en-costa-rica,4,4,4,3.5,0,0,0
/sky-ride-vuelos-charter,4,4,4,3.75,0,0,0
