# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Sky Ride
# Propiedad: www.skyride.city - GA4
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250424
# Fecha de finalización: 20260425
Ruta de página y clase de pantalla,Vistas,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos,Eventos clave,Total de ingresos
/,9145,6701,1.3647216833308462,23.407849574690346,43363,1026,0
/en/sky-ride-charter-flights/,1534,1073,1.4296365330848089,23.61789375582479,7777,67,0
/categoria-producto/flota-aerea/,839,519,1.6165703275529866,21.077071290944122,4377,51,0
/asientos-disponibles/,395,308,1.2824675324675325,25.925324675324674,2380,27,0
/en/,324,228,1.4210526315789473,18.153508771929825,1784,10,0
/vuelos-charter/,323,240,1.3458333333333334,26.175,1998,8,0
/paseo-en-helicoptero/,314,235,1.3361702127659574,62.93191489361702,1973,18,0
/en/helicopter-rides/,279,207,1.3478260869565217,37.73913043478261,1627,41,0
/producto/🚁-robinson-r44-3-pasajeros/,223,143,1.5594405594405594,15.41958041958042,1279,1,0
/paseo-en-bote/,214,181,1.1823204419889504,17.558011049723756,1151,6,0
/en/available-seats/,191,163,1.1717791411042944,21.57668711656442,1214,2,0
/en/charter-flights/,181,139,1.3021582733812949,17.9568345323741,1038,6,0
/en/categoria-producto/air-fleet/,173,91,1.901098901098901,38.417582417582416,923,3,0
/5113-2/,143,4,35.75,1898.25,853,118,0
/gracias/,129,116,1.1120689655172413,12.672413793103448,928,135,0
/reservar-con-martin/,123,45,2.7333333333333334,99.86666666666666,798,109,0
/hipertensos-pueden-viajar-en-avion/,122,106,1.150943396226415,134.64150943396226,729,2,0
/ferry-a-contadora/,115,107,1.074766355140187,104.38317757009345,778,6,0
/blog/,106,75,1.4133333333333333,19.6,499,0,0
/en/ferry-to-contadora-is-it-really-convenient/,100,96,1.0416666666666667,75.79166666666667,624,1,0
/producto/🚁-robinson-r66-4-pasajeros/,96,65,1.476923076923077,13.353846153846154,551,3,0
/our-fleet/,91,67,1.3582089552238805,22.417910447761194,229,0,0
/apps-para-encontrar-viajes-en-avion-privado/,88,70,1.2571428571428571,27.8,461,0,0
/producto/🛩-cessna-206-5-pasajeros/,85,51,1.6666666666666667,23.529411764705884,419,6,0
/playa-cacique-contadora/,84,80,1.05,43.075,455,7,0
/producto/vuelos-charter/,84,75,1.12,24.69333333333333,547,3,0
/producto/🚁-eurocopter-b4-ec130-6-pasajeros/,84,61,1.3770491803278688,24.540983606557376,491,2,0
/luna-de-miel-en-panama/,82,78,1.0512820512820513,64.6923076923077,533,23,0
/producto/🚁-eurocopter-b3-as350-5-pasajeros/,77,51,1.5098039215686274,17.705882352941178,439,8,0
/producto/✈-piper-azteca-5-pasajeros/,69,32,2.15625,16.5,346,0,0
/producto/🛫-cessna-172-hasta-3-pasajeros/,68,48,1.4166666666666667,20.208333333333332,422,3,0
/panama/,67,42,1.5952380952380953,46.357142857142854,186,0,0
/sky-ride-vuelos-charter-2-0/,67,1,67,3939,339,2,0
/vuelos-charter-en-panama/,64,43,1.4883720930232558,22.976744186046513,391,3,0
/boats/valpar-catamaran/,59,48,1.2291666666666667,45.833333333333336,156,0,0
/en/what-to-do-in-contadora-island/,58,54,1.0740740740740742,120.12962962962963,403,1,0
/en,55,8,6.875,2168.25,371,1,0
/producto/🛩-king-air-200-hasta-9-pasajeros/,54,42,1.2857142857142858,14.380952380952381,299,3,0
/producto/🛫-king-air-f90-6-pasajeros/,51,38,1.3421052631578947,19.736842105263158,298,0,0
/boats/faro-catamaran/,50,40,1.25,42.55,130,0,0
/san-blas/,43,32,1.34375,20.5,112,0,0
/producto/✈-piper-cherokee-3-pasajeros/,40,34,1.1764705882352942,19.11764705882353,252,1,0
/alquiler-de-helicopteros-en-panama-todo-lo-que-necesitas-saber/,37,30,1.2333333333333334,36.43333333333333,262,4,0
/occasions/,37,28,1.3214285714285714,28.321428571428573,87,0,0
/transporte-a-contadora/,36,34,1.0588235294117647,61.11764705882353,238,1,0
/en/what-to-see-in-san-jose-capital-of-costa-rica/,35,30,1.1666666666666667,18.166666666666668,182,6,0
/boats/zenith-catamaran/,32,28,1.1428571428571428,18.392857142857142,84,0,0
/en/blog-2/,32,12,2.6666666666666665,21.666666666666668,150,0,0
/producto/✈-daher-kodiak-hasta-9-pasajeros/,32,22,1.4545454545454546,15.772727272727273,167,0,0
/que-hacer-en-isla-contadora/,32,22,1.4545454545454546,243.9090909090909,192,2,0
/alquiler-de-yates-de-lujo-en-panama/,31,22,1.4090909090909092,19.545454545454547,165,1,0
/en/cacique-beach-in-contadora-a-true-paradise/,31,25,1.24,26.04,143,0,0
/en/thank-you/,31,26,1.1923076923076923,15.192307692307692,204,1,0
/helicoptero-privado-lo-que-debes-saber-sky-ride/,30,29,1.0344827586206897,88.72413793103448,171,0,0
/categoria-producto/flota-marina/,29,25,1.16,32.56,187,1,0
/que-ver-y-hacer-en-playa-tambor-costa-rica/,27,24,1.125,46.166666666666664,173,3,0
/boats/gemini-boat/,26,25,1.04,13.8,72,0,0
/boats/nikita-catamaran/,26,24,1.0833333333333333,25.041666666666668,70,0,0
/paseo-en-helicoptero-precio-panama/,25,23,1.0869565217391304,65.17391304347827,144,0,0
/contact-us/,22,19,1.1578947368421053,33.578947368421055,65,0,0
/boats/vip-one-catamaran/,21,15,1.4,94.4,51,0,0
/en/honeymoon-in-panama-best-places-activities-itinerary/,21,21,1,14.333333333333334,135,0,0
/en/producto/🚁-eurocopter-b4-ec130-6-passengers/,21,14,1.5,23.428571428571427,115,0,0
/vuelo-privado-a-contadora/,21,19,1.105263157894737,13.210526315789474,169,0,0
/en/producto/charter-flights/,20,19,1.0526315789473684,7.421052631578948,144,0,0
/en/producto/🚁-robinson-r44-3-passengers/,20,18,1.1111111111111112,13.444444444444445,132,0,0
/producto/🛩-cessna-grand-caravan-12-pasajeros/,20,18,1.1111111111111112,12.88888888888889,121,1,0
/descubre-el-confort-vuelo-privado-panama-costa-rica/,19,13,1.4615384615384615,18.923076923076923,108,0,0
/descubre-las-mejores-islas-de-san-blas-skyride/,19,17,1.1176470588235294,24.235294117647058,116,0,0
/en/boat-charters/,19,11,1.7272727272727273,34.72727272727273,98,1,0
