# ----------------------------------------
# Resumen de adquisiciones
# Cuenta: Sky Ride
# Propiedad: www.skyride.city - GA4
# ----------------------------------------
#  
# Fecha de inicio: 20250424
# Fecha de finalización: 20260425
Día N,Usuarios activos
0000,53
0001,50
0002,42
0003,41
0004,30
0005,51
0006,40
0007,49
0008,48
0009,47
0010,53
0011,36
0012,43
0013,33
0014,46
0015,46
0016,35
0017,41
0018,43
0019,34
0020,42
0021,32
0022,41
0023,41
0024,44
0025,39
0026,43
0027,42
0028,45
0029,35
0030,37
0031,50
0032,49
0033,52
0034,52
0035,45
0036,32
0037,43
0038,42
0039,55
0040,51
0041,67
0042,52
0043,43
0044,45
0045,55
0046,48
0047,63
0048,46
0049,62
0050,48
0051,54
0052,35
0053,41
0054,26
0055,44
0056,39
0057,59
0058,48
0059,45
0060,57
0061,51
0062,51
0063,64
0064,40
0065,43
0066,60
0067,43
0068,59
0069,55
0070,63
0071,59
0072,47
0073,77
0074,80
0075,68
0076,73
0077,77
0078,90
0079,58
0080,80
0081,78
0082,69
0083,60
0084,59
0085,57
0086,46
0087,48
0088,47
0089,40
0090,46
0091,42
0092,47
0093,37
0094,50
0095,51
0096,41
0097,38
0098,41
0099,59
0100,41
0101,49
0102,42
0103,45
0104,31
0105,48
0106,48
0107,37
0108,54
0109,54
0110,38
0111,48
0112,44
0113,62
0114,46
0115,48
0116,50
0117,59
0118,41
0119,47
0120,53
0121,36
0122,59
0123,48
0124,45
0125,38
0126,43
0127,32
0128,42
0129,45
0130,41
0131,60
0132,47
0133,52
0134,49
0135,47
0136,58
0137,57
0138,49
0139,51
0140,43
0141,44
0142,35
0143,31
0144,30
0145,35
0146,40
0147,42
0148,35
0149,47
0150,41
0151,43
0152,34
0153,54
0154,39
0155,44
0156,37
0157,35
0158,41
0159,20
0160,14
0161,12
0162,18
0163,3
0164,7
0165,11
0166,22
0167,9
0168,12
0169,19
0170,9
0171,10
0172,12
0173,7
0174,15
0175,16
0176,22
0177,21
0178,17
0179,29
0180,40
0181,28
0182,22
0183,22
0184,20
0185,11
0186,22
0187,13
0188,11
0189,18
0190,16
0191,80
0192,49
0193,18
0194,20
0195,32
0196,13
0197,18
0198,14
0199,20
0200,18
0201,24
0202,15
0203,11
0204,21
0205,26
0206,13
0207,18
0208,12
0209,19
0210,9
0211,20
0212,14
0213,13
0214,20
0215,17
0216,11
0217,23
0218,10
0219,30
0220,14
0221,28
0222,15
0223,20
0224,24
0225,27
0226,19
0227,14
0228,12
0229,6
0230,20
0231,9
0232,4
0233,15
0234,2
0235,104
0236,6
0237,12
0238,9
0239,3
0240,6
0241,4
0242,3
0243,5
0244,10
0245,11
0246,2
0247,7
0248,11
0249,9
0250,14
0251,10
0252,12
0253,27
0254,12
0255,9
0256,6
0257,10
0258,25
0259,16
0260,4
0261,11
0262,10
0263,10
0264,11
0265,11
0266,18
0267,13
0268,3
0269,3
0270,12
0271,6
0272,7
0273,4
0274,8
0275,9
0276,7
0277,6
0278,7
0279,13
0280,5
0281,7
0282,6
0283,16
0284,7
0285,16
0286,12
0287,9
0288,6
0289,7
0290,19
0291,11
0292,9
0293,10
0294,9
0295,8
0296,7
0297,5
0298,4
0299,7
0300,4
0301,10
0302,11
0303,17
0304,7
0305,8
0306,13
0307,10
0308,18
0309,12
0310,4
0311,8
0312,18
0313,20
0314,0
0315,11
0316,9
0317,4
0318,6
0319,13
0320,8
0321,9
0322,10
0323,19
0324,25
0325,6
0326,5
0327,12
0328,5
0329,16
0330,25
0331,18
0332,8
0333,12
0334,18
0335,14
0336,9
0337,7
0338,18
0339,16
0340,6
0341,8
0342,9
0343,7
0344,2
0345,7
0346,4
0347,10
0348,10
0349,7
0350,16
0351,3
0352,2
0353,25
0354,47
0355,7
0356,12
0357,5
0358,10
0359,15
0360,24
0361,17
0362,9
0363,9
0364,10
0365,11
0366,12

# Fecha de inicio: 20250424
# Fecha de finalización: 20260425
Día N,Usuarios nuevos
0000,50
0001,47
0002,42
0003,39
0004,28
0005,50
0006,38
0007,47
0008,45
0009,47
0010,50
0011,34
0012,40
0013,32
0014,45
0015,45
0016,33
0017,41
0018,43
0019,31
0020,40
0021,29
0022,38
0023,38
0024,44
0025,38
0026,42
0027,40
0028,43
0029,34
0030,36
0031,49
0032,45
0033,49
0034,51
0035,44
0036,28
0037,39
0038,42
0039,54
0040,47
0041,61
0042,52
0043,38
0044,44
0045,51
0046,47
0047,63
0048,44
0049,60
0050,47
0051,52
0052,32
0053,40
0054,26
0055,41
0056,38
0057,57
0058,47
0059,43
0060,56
0061,49
0062,49
0063,63
0064,37
0065,41
0066,60
0067,39
0068,58
0069,55
0070,55
0071,57
0072,44
0073,75
0074,77
0075,64
0076,71
0077,72
0078,86
0079,56
0080,80
0081,76
0082,66
0083,53
0084,53
0085,48
0086,45
0087,45
0088,47
0089,39
0090,45
0091,38
0092,45
0093,36
0094,49
0095,48
0096,40
0097,37
0098,38
0099,55
0100,40
0101,48
0102,41
0103,43
0104,30
0105,47
0106,46
0107,34
0108,54
0109,53
0110,36
0111,44
0112,40
0113,55
0114,45
0115,47
0116,46
0117,59
0118,39
0119,45
0120,49
0121,34
0122,55
0123,44
0124,42
0125,37
0126,42
0127,32
0128,40
0129,42
0130,39
0131,56
0132,46
0133,47
0134,45
0135,39
0136,56
0137,51
0138,47
0139,49
0140,40
0141,43
0142,34
0143,29
0144,28
0145,34
0146,38
0147,41
0148,32
0149,47
0150,39
0151,40
0152,34
0153,52
0154,35
0155,39
0156,36
0157,33
0158,39
0159,19
0160,12
0161,10
0162,17
0163,2
0164,7
0165,10
0166,20
0167,8
0168,10
0169,17
0170,8
0171,10
0172,12
0173,4
0174,12
0175,13
0176,19
0177,21
0178,15
0179,28
0180,40
0181,28
0182,22
0183,20
0184,20
0185,11
0186,21
0187,12
0188,10
0189,13
0190,13
0191,80
0192,50
0193,18
0194,18
0195,32
0196,12
0197,15
0198,14
0199,20
0200,19
0201,22
0202,13
0203,11
0204,19
0205,25
0206,11
0207,15
0208,10
0209,15
0210,8
0211,18
0212,12
0213,13
0214,19
0215,15
0216,9
0217,19
0218,8
0219,29
0220,13
0221,26
0222,13
0223,18
0224,21
0225,26
0226,19
0227,13
0228,12
0229,6
0230,16
0231,7
0232,4
0233,15
0234,2
0235,104
0236,5
0237,9
0238,7
0239,2
0240,4
0241,4
0242,2
0243,4
0244,9
0245,10
0246,1
0247,5
0248,9
0249,7
0250,12
0251,8
0252,12
0253,23
0254,11
0255,7
0256,5
0257,8
0258,22
0259,14
0260,3
0261,10
0262,9
0263,9
0264,10
0265,9
0266,15
0267,11
0268,3
0269,3
0270,10
0271,4
0272,7
0273,3
0274,7
0275,9
0276,7
0277,4
0278,7
0279,12
0280,4
0281,6
0282,4
0283,15
0284,5
0285,11
0286,10
0287,7
0288,6
0289,7
0290,18
0291,9
0292,9
0293,9
0294,8
0295,7
0296,7
0297,4
0298,4
0299,7
0300,4
0301,9
0302,9
0303,16
0304,6
0305,5
0306,11
0307,10
0308,18
0309,12
0310,4
0311,8
0312,15
0313,18
0314,0
0315,11
0316,8
0317,4
0318,5
0319,13
0320,8
0321,8
0322,11
0323,18
0324,26
0325,6
0326,4
0327,12
0328,4
0329,15
0330,24
0331,18
0332,8
0333,11
0334,18
0335,14
0336,9
0337,7
0338,17
0339,16
0340,3
0341,6
0342,6
0343,5
0344,2
0345,6
0346,4
0347,10
0348,6
0349,6
0350,13
0351,3
0352,1
0353,23
0354,46
0355,6
0356,12
0357,4
0358,7
0359,15
0360,21
0361,12
0362,8
0363,7
0364,9
0365,10
0366,10

#  
# Fecha de inicio: 20250424
# Fecha de finalización: 20260425
Primer grupo de canales principal del usuario (Grupo de canales predeterminado),Usuarios nuevos
Paid Search,5121
Direct,2436
Organic Search,1516
Organic Social,331
Referral,274
Cross-network,84
Unassigned,40

#  
# Fecha de inicio: 20250424
# Fecha de finalización: 20260425
Grupo de canales principal de la sesión (Grupo de canales predeterminado),Sesiones
Paid Search,5428
Direct,2768
Organic Search,2004
Referral,521
Organic Social,337
Unassigned,240
Cross-network,85

#  
# Fecha de inicio: 20250424
# Fecha de finalización: 20260425
Campaña de Google Ads de la sesión,Sesiones
SKY RIDE 2025  AEREO,3739
SKY RIDE 2025  MARINO,1697

#  
# Fecha de inicio: 20251226
# Fecha de finalización: 20260424
Cohorte,Valor medio de 120 días
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,0
0049,0
0050,0
0051,0
0052,0
0053,0
0054,0
0055,0
0056,0
0057,0
0058,0
0059,0
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
0070,0
0071,0
0072,0
0073,0
0074,0
0075,0
0076,0
0077,0
0078,0
0079,0
0080,0
0081,0
0082,0
0083,0
0084,0
0085,0
0086,0
0087,0
0088,0
0089,0
0090,0
0091,0
